team,name,position,matches,goals,assists,status
Bodrumspor,Suleyman Ozdamar,M,0,0,0,Injured
Bodrumspor,Mustafa Erdilman,M,0,0,0,Injured
Bodrumspor,Tunahan Akpınar,M,0,0,0,Injured
Bodrumspor,Ege Bilsel ,M,0,0,0,Suspended
Bodrumspor,Samet Yalcin ,M,0,0,0,Suspended
Eyupspor,Melih Kabasakal,M,0,0,0,Suspended
Eyupspor,Robin Yalcin,D,0,0,0,Suspended
Eyupspor,Ahmed Kutucu,F,0,0,0,Suspended
Eyupspor,Fredrik Midtsjo,M,0,0,0,Injured
Eyupspor,Recep Niyaz,M,0,0,0,Doubtful
Fenerbahce,Sofyan Amrabat,M,0,0,0,Injured
Fenerbahce,Mert Hakan Yandas,M,0,0,0,Injured
Fenerbahce,Caglar Soyuncu,D,0,0,0,Injured
Fenerbahce,Jayden Oosterwolde ,D,0,0,0,Injured
Galatasaray,Ismail Jakobs,M,0,0,0,Injured
Galatasaray,Mauro Icardi ,F,0,0,0,Injured
Gaziantep,G. Bitok Stephen,M,0,0,0,Doubtful
Goztepe,Juan,F,0,0,0,Suspended
Goztepe,Isaac Solet,M,0,0,0,Injured
Goztepe,Kubilay Kanatsizkus,F,0,0,0,Doubtful
Hatayspor,Massanga Matondo,M,0,0,0,Injured
Basaksehir,Berkay Ozcan,M,0,0,0,Injured
Kasimpasa,K. Josiah Omeruo ,D,0,0,0,Injured
Kayserispor,Majid Hosseini,D,0,0,0,Doubtful
Kayserispor,Carlos Mane ,F,0,0,0,Injured
Kayserispor,Miguel Cardoso ,F,0,0,0,Suspended
Konyaspor,Riechedly Bazoer,M,0,0,0,Suspended
Konyaspor,Josip Calusic,M,0,0,0,Injured
Rizespor,B. David Akintola,F,0,0,0,Suspended
Rizespor,Amir Hadziahmetovic,M,0,0,0,Suspended
Rizespor,C.Hojer Nielsen,D,0,0,0,Injured
Sivasspor,Mehmet Albayrak,M,0,0,0,Injured
Trabzonspor,Stefan Savic,D,0,0,0,Injured
team,name,position,matches,goals,assists,status
Ajax,Julian Rijkhoff,M,0,0,0,Doubtful
Ajax,Sivert Mannsverk,M,0,0,0,Doubtful
Ajax,A. van Axel,M,0,0,0,Doubtful
Ajax,Gaston Avila,D,0,0,0,Doubtful
Ajax,Mika Godts ,M,0,0,0,Injured
Almere, Alex Balboa ,M,0,0,0,Doubtful
Almere, Baptiste Guillaume,F,0,0,0,Doubtful
Alkmaar,R.J. Owusu-Oduro,M,0,0,0,Injured
Alkmaar,Sem Westerveld,M,0,0,0,Doubtful
Alkmaar,Ibrahim Sadiq ,F,0,0,0,Injured
Groningen,Finn Stam,M,0,0,0,Injured
FC Twente,Anass Salah-Eddine,M,0,0,0,Injured
FC Twente,Mees Hilgers,D,0,0,0,Injured
FC Twente,Younes Taha,M,0,0,0,Injured
Utrecht,Alonzo Engwanda,M,0,0,0,Doubtful
Utrecht,Kevin Gadellaa,M,0,0,0,Doubtful
Utrecht,Can Bozdogan ,M,0,0,0,Injured
Utrecht,Silas Andersen ,M,0,0,0,Suspended
Utrecht,Mike Van der Hoorn ,M,0,0,0, Injured
Feyenoord,Hugo Bueno,D,0,0,0,Injured
Feyenoord,Ibrahim Osman,M,0,0,0,Injured
Feyenoord,Ayase Ueda ,M,0,0,0,Injured
Sittard,Kaj Sierhuis,F,0,0,0,Doubtful
Heracles,Stjin Bultman ,M,0,0,0,Doubtful
Heracles,Sava Cestic ,D,0,0,0,Doubtful
Heracles,Nikolai Lauren ,F,0,0,0,Doubtful
Breda,Cherrion Vaerius,M,0,0,0,Injured
Breda,Aimé Omgba,M,0,0,0,Doubtful
NEC Nijmegen,Y. Borges Sanches,M,0,0,0,Injured
Zwolle,Tristan Gooijer,M,0,0,0,Doubtful
Zwolle,Samir Lagsir,M,0,0,0,Doubtful
PSV,Adamo Nagalo, D,0,0,0,Injured
PSV,Jerdy Schouten , M,0,0,0,Injured
PSV,Couhaib Driouech , F,0,0,0,Injured
PSV,Sergino Dest , D,0,0,0,Doubtful
Waalwijk,J. Familia-Castillo,D,0,0,0,Injured
Waalwijk,Nouri El Harmazi,M,0,0,0,Doubtful
SC Heerenveen, Mats Kohlert,F,0,0,0,Injured
Sparta,Pelle Clement,M,0,0,0,Suspended
Sparta,Jonathan De Guzman ,M,0,0,0,Doubtful
Willem II,Dani Mathieu,M,0,0,0,Doubtful
Willem II,Amar Fatah,M,0,0,0,Doubtful
Willem II,Niels van Berkel,M,0,0,0,Doubtful
Willem II,Valentino Vermeulen ,M,0,0,0,Doubtful
team,name,position,matches,goals,assists,status
Argentinos Juniors,Kevin Coronel,M,0,0,0,Suspended
Argentinos Juniors,Alan Rodriguez,M,0,0,0,Injured
Argentinos Juniors,Erik Godoy,D,0,0,0,Injured
Argentinos Juniors,Luciano Sanchez,M,0,0,0,Injured
Atletico Tucuman,Gino Peruzzi,D,0,0,0,Injured
Banfield,Juan Alvarez,F,0,0,0,Injured
Banfield,Damian Diaz,M,0,0,0,Injured
Banfield,Alejandro Cabrera,M,0,0,0,Injured
Banfield,Lautaro Gomez ,M,0,0,0,Injured
Banfield,Geronimo Rivera,M,0,0,0,Injured
Banfield,Bruno Sepulveda,F,0,0,0,Injured
Banfield,Nicolás Hernández,M,0,0,0,Injured
Banfield,Braian Galvan,F,0,0,0,Injured
Banfield,Alexis Maldonado,D,0,0,0,Injured
Banfield,Guillermo Enrique,M,0,0,0,Injured
Barracas Central,Sebastian Moyano,G,0,0,0,Injured
Barracas Central,Lucas Lopez,M,0,0,0,Injure
Barracas Central,Gonzalo Goni ,D,0,0,0,Injured
Belgrano Central,Matias Marin,M,0,0,0,Injured
Belgrano Central,Alejandro Rebola,M,0,0,0,Injured
Boca Juniors,Cristian Lema,D,0,0,0,Injured
Boca Juniors,Aaron Anselmino,M,0,0,0,Injured
Central Cordoba,Lautaro Montoya,D,0,0,0,Injured
Platense,Juan Pablo Pignani,M,0,0,0,Injured
Platense,Juan Pablo Goicochea,M,0,0,0,Injured
Platense,Raul Lozano,D,0,0,0,Injured
Platense,Ciro Rius,F,0,0,0,Injured
Estudiantes La Plata,Pablo Piatti,F,0,0,0,Injured
Estudiantes La Plata,Javier Altamirano ,M,0,0,0,Injured
Estudiantes La Plata,Matias Contrera ,M,0,0,0,Injured
Gimnasia La Plata,Lucas Castro,M,0,0,0,Injured
Gimnasia La Plata,Gonzalo Gonzalez,M,0,0,0,Injured
Gimnasia La Plata,Matias Abaldo ,M,0,0,0,Injured
Gimnasia La Plata,Ivo Mammini ,F,0,0,0,Injured
Gimnasia La Plata,Pablo De Blasis,M,0,0,0,Injured
Godoy Cruz,Nicolas Fernandez,M,0,0,0,Injured
Godoy Cruz,Elias Pereyra,D,0,0,0,Injured
Godoy Cruz,Pier Barrios,D,0,0,0,Injured
Godoy Cruz,Nahuel Ulariaga,F,0,0,0,Injured
Huracan,Sebastián Ramirez,M,0,0,0,Injured
Huracan,Lucas Carrizo,M,0,0,0,Injured
Independiente,Santiago Montiel,M,0,0,0,Injured
Independiente,Adrian Sporle,D,0,0,0,Injured
Independiente,Joaquin Laso,D,0,0,0,Suspended
Independiente,Lucas Gonzalez,M,0,0,0,Injured
Independiente,R. David Martinez,M,0,0,0,Injured
Independiente,Federico Mancuello,M,0,0,0,Injured
Ind. Rivadavia,Federico Moreno,M,0,0,0,Injured
Instituto Atletico,Jeremias Lazaro ,M,0,0,0,Injured
Instituto Atletico,Jonas Acevedo ,M,0,0,0,Injured
Instituto Atletico,Fernando Alarcon ,D,0,0,0,Injured
Lanus,Walter Bou,F,0,0,0,Injured
Lanus,Nicolas Morgantini,D,0,0,0,Injured
Lanus,Ramiro Carrera ,M,0,0,0,Injured
Lanus,Leandro Diaz ,F,0,0,0,Injured
Lanus,Nery Dominguez,M,0,0,0,Injured
Newells,Jeronimo Cacciabue,M,0,0,0,Injured
Newells,Brian Calderara ,D,0,0,0,Injured
Racing,Agustin Almendra,M,0,0,0,Injured
River Plate,Claudio Echeverri ,M,0,0,0,Injured
River Plate,Agustin Sant'Anna ,M,0,0,0,Injured
River Plate,German Pezzella ,D,0,0,0,Injured
